asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_prime,climate_pledge_friendly
B0BJYW2J94,"SAMSUNG Galaxy A32 5G (SM-A326B/DS) Dual SIM 128GB /8GB RAM, GSM Unlocked, International Version - Awesome Black",$287.99,,USD,3.6,2,https://www.amazon.com/dp/B0BJYW2J94,https://m.media-amazon.com/images/I/61b5CIhRXfL._AC_SX444_SY639_QL65_.jpg,,$287.99,False,True,False
B096T56NRH,"SAMSUNG Galaxy S21 Ultra G998U 5G | Fully Unlocked Android Smartphone | US Version | Pro-Grade Camera, 8K Video, 108MP High Resolution | 256GB - Phantom Black (Renewed)",$405.00,$454.99,USD,4.3,555,https://www.amazon.com/dp/B096T56NRH,https://m.media-amazon.com/images/I/61dlAm9BpqL._AC_SX444_SY639_QL65_.jpg,,$405.00,False,False,True
B0932D7ZG4,Samsung Galaxy S21 5G G991U 128GB Smartphone - T-Mobile Locked - (Renewed),$247.00,,USD,4.2,643,https://www.amazon.com/dp/B0932D7ZG4,https://m.media-amazon.com/images/I/61YgX12EuXL._AC_SX444_SY639_QL65_.jpg,,$247.00,False,False,True
B08HL64JS8,Samsung Galaxy Note 20 Ultra 128GB Unlocked Android Smartphone - Mystic Black (Renewed),$409.99,$469.99,USD,4.1,3198,https://www.amazon.com/dp/B08HL64JS8,https://m.media-amazon.com/images/I/51UG-WVTAOL._AC_SX444_SY639_QL65_.jpg,,$409.99,False,True,True
B0CBSY2Q9P,"SAMSUNG Galaxy A32 5G (64GB, 4GB) 6.5&quot; 90Hz Display, 48MP Quad Camera, All Day Battery, 4G Volte (GSM Unlocked for T-Mobile, Metro, AT&amp;T, Global No Logo) US Model A326U1 (w/ 256GB SD, Awesome Black)",$160.99,$169.99,USD,5,5,https://www.amazon.com/dp/B0CBSY2Q9P,https://m.media-amazon.com/images/I/51qmYERXW4L._AC_SX399_SY575_QL65_.jpg,,$160.99,False,False,False
B0939K5M9Q,"Samsung Galaxy S21 Ultra | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 108MP High Res | 128GB, Phantom Black (SM-G998UZKAXAA) (Renewed)",$377.00,,USD,4,1334,https://www.amazon.com/dp/B0939K5M9Q,https://m.media-amazon.com/images/I/71c4bP43zpL._AC_SX444_SY639_QL65_.jpg,,$377.00,False,True,True
B0CBSY2Q9P,"SAMSUNG Galaxy A32 5G (64GB, 4GB) 6.5&quot; 90Hz Display, 48MP Quad Camera, All Day Battery, 4G Volte (GSM Unlocked for T-Mobile, Metro, AT&amp;T, Global No Logo) US Model A326U1 (w/ 256GB SD, Awesome Black)",$160.99,$169.99,USD,5,5,https://www.amazon.com/dp/B0CBSY2Q9P,https://m.media-amazon.com/images/I/51qmYERXW4L._AC_SX399_SY575_QL65_.jpg,,$160.99,False,False,False
B0939K5M9Q,"Samsung Galaxy S21 Ultra | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 108MP High Res | 128GB, Phantom Black (SM-G998UZKAXAA) (Renewed)",$377.00,,USD,4,1334,https://www.amazon.com/dp/B0939K5M9Q,https://m.media-amazon.com/images/I/71c4bP43zpL._AC_SX444_SY639_QL65_.jpg,,$377.00,False,True,True
B09V87YTC9,"SAMSUNG Galaxy A13 LTE Cell Phone, Factory Unlocked Android Smartphone, 32GB, Multi Lens Camera, Infinity-V HD+ Display Screen, Long Battery Life, Expandable Storage, US Version, Black",$169.72,,USD,4.2,294,https://www.amazon.com/dp/B09V87YTC9,https://m.media-amazon.com/images/I/61JfY-8odVL._AC_SX444_SY639_QL65_.jpg,,$169.72,False,True,False
B09478TZZY,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Violet for AT&amp;T (Renewed)",$245.89,$289.99,USD,3.8,35,https://www.amazon.com/dp/B09478TZZY,https://m.media-amazon.com/images/I/61uhL-Bb4xL._AC_SX444_SY639_QL65_.jpg,,$245.89,False,False,True
B08PQ5ZCNP,"SAMSUNG Galaxy A71 5G (128GB, 6GB) 6.7&quot; AMOLED+, Snapdragon 765G, 4500mAh Battery, Global 5G Volte GSM AT&amp;T Unlocked (T-Mobile, Metro, Straight Talk) A716U (Prism Cube Black)(Renewed)",$179.93,,USD,3.9,545,https://www.amazon.com/dp/B08PQ5ZCNP,https://m.media-amazon.com/images/I/61kx4uQ9c-L._AC_SX444_SY639_QL65_.jpg,,$179.93,False,False,True
